,"Country, State",Lat,Long_,Incidence_Rate,Case-Fatality_Ratio,Confirmed,Deaths,Recovered,Active,Country
549,Saint Vincent and the Grenadines,12.9843,-61.2872,24.335944189567996,0.0,27,0,25,2,Saint Vincent and the Grenadines
550,San Marino,43.9424,12.4578,2044.9054157581472,6.051873198847263,694,42,520,132,San Marino
551,Sao Tome and Principe,0.18636,6.613081,291.56647396206444,1.8779342723004693,639,12,156,471,Sao Tome and Principe
552,Saudi Arabia,23.885942,45.079162,344.5236347918489,0.7445265211518901,119942,893,81029,38020,Saudi Arabia
553,Senegal,14.4974,-14.4524,28.97169302547252,1.1544011544011543,4851,56,3100,1695,Senegal
554,Serbia,44.0165,21.0059,139.34399023962592,2.0698151950718686,12175,252,11411,512,Serbia
555,Seychelles,-4.6796,55.492,11.185682326621924,0.0,11,0,11,0,Seychelles
556,Sierra Leone,8.460555000000001,-11.779889,13.827279354292381,4.623753399818677,1103,51,648,404,Sierra Leone
557,Singapore,1.2833,103.8333,681.1566432942477,0.06273525721455459,39850,25,28040,11785,Singapore
558,Slovakia,48.669,19.699,28.24360493900425,1.8158236057068744,1542,28,1409,105,Slovakia
559,Slovenia,46.1512,14.9955,71.67141590008715,7.315436241610738,1490,109,1359,22,Slovenia
560,Somalia,5.152149,46.199616,15.811774820443866,3.382411460405889,2513,85,532,1896,Somalia
561,South Africa,-30.5595,22.9375,104.41471561755958,2.1864453307927074,61927,1354,35006,25567,South Africa
562,South Sudan,6.877000000000002,31.307,14.919067631528332,1.4371257485029942,1670,24,48,1598,South Sudan
563,"Spain, Andalusia",37.5443,-4.7278,152.05155086292876,10.956766037146869,12814,1404,10671,739,Spain
564,"Spain, Aragon",41.5976,-0.9057,441.69785231707743,14.16080918909652,5833,826,3772,1235,Spain
565,"Spain, Asturias",43.3614,-5.8593,238.21053506879738,12.895277207392196,2435,314,1063,1058,Spain
566,"Spain, Baleares",39.710358,2.995148,180.60628503139148,9.739049394221807,2146,209,1533,404,Spain
567,"Spain, C. Valenciana",39.484,-0.7533,228.92604958945472,11.69549565370094,11389,1332,9970,87,Spain
568,"Spain, Canarias",28.2916,-16.6291,107.57165817587651,6.360572872788542,2374,151,1537,686,Spain
569,"Spain, Cantabria",43.1828,-3.9878,400.0749603277623,8.680704770090244,2327,202,2287,-162,Spain
570,"Spain, Castilla - La Mancha",39.2796,-3.0977,871.7971651357798,16.600901916572713,17740,2945,6392,8403,Spain
571,"Spain, Castilla y Leon",41.8357,-4.3976,801.4177651757899,9.991708126036484,19296,1928,8716,8652,Spain
572,"Spain, Catalonia",41.5912,1.5209,787.5972172349158,9.375262195224273,59593,5587,26203,27803,Spain
573,"Spain, Ceuta",35.8894,-5.3213,192.15126902356502,2.4539877300613497,163,4,163,-4,Spain
574,"Spain, Extremadura",39.4937,-6.0679,280.0762888765412,17.024128686327078,2984,508,2652,-176,Spain
575,"Spain, Galicia",42.5751,-8.1339,339.09276299685865,6.650649776127553,9157,609,9204,-656,Spain
576,"Spain, La Rioja",42.2871,-2.5396,1296.6760319034606,8.903098868666994,4066,362,3107,597,Spain
577,"Spain, Madrid",40.4168,-3.7038,1057.4331766102064,12.374877190984039,70231,8691,40736,20804,Spain
578,"Spain, Melilla",35.2923,-2.9381,144.05648903635654,1.639344262295082,122,2,125,-5,Spain
579,"Spain, Murcia",37.9922,-1.1307,109.43338645916448,9.090909090909092,1628,148,2180,-700,Spain
580,"Spain, Navarra",42.6954,-1.6761,816.6832321454398,9.231348907309721,5308,490,3905,913,Spain
581,"Spain, Pais Vasco",42.9896,-2.6189,624.5982331441585,10.468279056090568,13603,1424,16160,-3981,Spain
582,"Spain, Unknown",,,,,0,0,0,0,Spain
583,Sri Lanka,7.873054,80.77179699999998,8.779610755023175,0.5851063829787234,1880,11,1196,673,Sri Lanka
584,Sudan,12.8628,30.2176,15.687832789185151,6.294519552260502,6879,433,2416,4030,Sudan
