"Country, State",Lat,Long_,Incidence_Rate,Case-Fatality_Ratio,Confirmed,Deaths,Recovered,Active,Country
Qatar,25.3548,51.1839,2721.776012995217,0.08926749642930014,78416,70,55252,23094,Qatar
Romania,45.9432,24.9668,112.69029189691356,6.430185894183311,21679,1394,15635,4650,Romania
"Russia, Adygea Republic",44.6939006,40.1520421,281.8852343308865,0.9389671361502347,1278,12,752,514,Russia
"Russia, Altai Krai",52.693224300000004,82.69314240000001,115.99605119825708,0.6969919295671313,2726,19,1607,1100,Russia
"Russia, Altai Republic",50.7114101,86.8572186,111.4356860173436,0.0,243,0,126,117,Russia
"Russia, Amur Oblast",52.8032368,128.437295,121.86507419616643,0.513874614594039,973,5,350,618,Russia
"Russia, Arkhangelsk Oblast",63.5589686,43.1221646,310.5552419508445,0.4460551993309172,3587,16,1043,2528,Russia
"Russia, Astrakhan Oblast",47.1878186,47.608851,262.79736691583605,0.8975317875841436,2674,24,1639,1011,Russia
"Russia, Bashkortostan Republic",54.8573563,57.1439682,108.7295452235416,0.4074241738343142,4418,18,1839,2561,Russia
"Russia, Belgorod Oblast",50.7080119,37.5837615,211.88791877543756,1.0353227771010962,3284,34,2056,1194,Russia
"Russia, Bryansk Oblast",52.887331499999995,33.41585300000001,406.281843991075,0.6504065040650406,4920,32,3519,1369,Russia
"Russia, Buryatia Republic",52.718242599999996,109.492143,218.6872467651453,0.5109150023223409,2153,11,1290,852,Russia
"Russia, Chechen Republic",43.39761470000001,45.6985005,101.88026146483496,1.1612021857923498,1464,17,1123,324,Russia
"Russia, Chelyabinsk Oblast",54.4223954,61.1865846,124.27584485244354,0.9214466712739,4341,40,2309,1992,Russia
"Russia, Chukotka Autonomous Okrug",66.0006475,169.4900869,261.40877036556697,0.7751937984496124,129,1,77,51,Russia
"Russia, Chuvashia Republic",55.4259922,47.0849429,321.3342030042636,0.45500505561172905,3956,18,2105,1833,Russia
"Russia, Dagestan Republic",43.05749160000001,47.1332224,210.94133755020175,4.842952189385733,6463,313,4710,1440,Russia
"Russia, Ingushetia Republic",43.11542075,45.01713552,522.494944093041,2.431372549019608,2550,62,2113,375,Russia
"Russia, Irkutsk Oblast",56.6370122,104.71922099999999,158.8473480728477,0.5236973029588897,3819,20,1002,2797,Russia
"Russia, Ivanovo Oblast",56.9167446,41.43521370000001,327.50338541717997,0.8125188083057479,3323,27,1351,1945,Russia
"Russia, Jewish Autonomous Okrug",48.57527615,132.66307460000002,228.992556198847,1.0781671159029649,371,4,276,91,Russia
"Russia, Kabardino-Balkarian Republic",43.480604799999995,43.5978976,440.61869101022376,0.9174311926605504,3815,35,1886,1894,Russia
